V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,mTurkCode,Q26,Q1,Q2,Q2,Q45_7,Q45_9,Q20_7,Q20_9,Q18_6,Q18_7,Q26_7,Q26_9,Q18_4,Q18_5,Q19_4,Q19_5,Q19_1,Q19_2,Q8,Q9,Q15,Q16,Q12,DO-BR-FL_17,DO-BR-FL_35,DO-BR-FL_31,DO-BR-FL_48,DO-BR-FL_56,DO-BR-FL_52,DO-BL-Treatment,DO-BL-Control,DO-Q-Q1,DO-Q-Q2,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,mTurkCode,What is your current age?,"Generally speaking, do you usually think of yourself as a Republican, a Democrat, an Independent?",Would you call yourself a strong Republican/Democrat or a not very strong Republican/Democrat?,Which party do you think of yourself as closer. The Republican or Democratic party?,"Please read the following excerpt:   Google said its cars needed human help 341 times over 424,00...-Do you agree with the author's position as represented in this article?","Please read the following excerpt:   Google said its cars needed human help 341 times over 424,00...-Do you believe this article to be an accurate representation of the situation?",Please read the following excerpt from a Huffington Post News article:   Daum said society might...-Do you agree with the author's position as represented in this article?,Please read the following excerpt from a Huffington Post News article:   Daum said society might...-Do you believe this article to be an accurate representation of the situation?,Please read the following excerpt from a Fox News article:    It should be clear at a glance just...-Do you agree with the author's position as represented in this article?,Please read the following excerpt from a Fox News article:    It should be clear at a glance just...-Do you believe this article to be an accurate representation of the situation?,"Please read the following excerpt:   Google said its cars needed human help 341 times over 424,00...-Do you agree with the author's position as represented in this article?","Please read the following excerpt:   Google said its cars needed human help 341 times over 424,00...-Do you believe this article to be an accurate representation of the situation?",Please read the following excerpt from a Fox News article:   Daum said society might forgive a nu...-Do you agree with the author's position as represented in this article?,Please read the following excerpt from a Fox News article:   Daum said society might forgive a nu...-Do you believe this article to be an accurate representation of the situation?,Please read the following excerpt from a Huffington Post News article:   It should be clear at a...-Do you agree with the author's position as represented in this article?,Please read the following excerpt from a Huffington Post News article:   It should be clear at a...-Do you believe this article to be an accurate representation of the situation?,How familiar are you with the following news sources?-Fox News,How familiar are you with the following news sources?-Huffington Post News,Gender,What is the highest level of education you have completed?,Please indicate your occupation:,What is your current marital status?,"50 States, D.C. and Puerto Rico",Display Order: Block Randomizer FL_17,Display Order: Block Randomizer FL_35,Display Order: Block Randomizer FL_31,Display Order: Block Randomizer FL_48,Display Order: Block Randomizer FL_56,Display Order: Block Randomizer FL_52,Display Order: Treatment,Display Order: Control,"Display Order: Generally speaking, do you usually think of yourself as a Republican, a Democrat, an Independent?",Display Order: Which party do you think of yourself as closer. The Republican or Democratic party?,LocationLatitude,LocationLongitude,LocationAccuracy,
R_xz14t6Jm0EkFBAd,Default Response Set,Anonymous,,,104.174.223.0,0,2016-04-23 03:10:08,2016-04-23 03:12:15,1,5735645,26-34,Independent,,Democrat,Agree,Agree,Strongly Agree,Agree,Agree,Agree,,,,,,,Slightly familiar,Not familiar at all,Male,4-year College Degree,"Management, professional, and related ","Single, never married",California,,Treatment,,,,,Q45|Q20|Q18,,3|2|1,1|2,34.078994750977,-117.84939575195,-1,
R_2Cqf0RXm8BECC2Z,Default Response Set,Anonymous,,,68.34.205.61,0,2016-04-23 03:10:29,2016-04-23 03:12:18,1,3366265,18-25,Democrat,Moderate,,,,,,,,Agree,Agree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Moderately familiar,Slightly familiar,Female,2-year College Degree,Service ,"Single, never married",Kentucky,Control,,,,,,,Q26|Q19|Q18,1|3|2,1|2,37.038299560547,-88.715698242188,-1,
R_2Ep1QVwwGB13spm,Default Response Set,Anonymous,,,67.246.117.190,0,2016-04-23 03:10:30,2016-04-23 03:12:57,1,7837965,26-34,Democrat,Moderate,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Very familiar,Extremely familiar,Male,Some College,Unemployed,"Single, never married",New York,,Control,,,,,,Q26|Q18|Q19,1|3|2,2|1,43.348007202148,-76.34220123291,-1,
R_3mdVdyKtLyOJ3NS,Default Response Set,Anonymous,,,108.196.136.202,0,2016-04-23 03:11:11,2016-04-23 03:15:21,1,6907460,35-44,Democrat,Weak,,Disagree,Disagree,Agree,Agree,Agree,Agree,,,,,,,Extremely familiar,Slightly familiar,Male,High School / GED,Sales and office ,Married with children,Texas,,,Treatment,,,,Q45|Q18|Q20,,1|2|3,1|2,29.185104370117,-95.45539855957,-1,
R_2qk44ZJDTEdMgfY,Default Response Set,Anonymous,,,71.169.134.228,0,2016-04-23 03:12:26,2016-04-23 03:15:24,1,2367603,26-34,Republican,Moderate,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,Very familiar,Moderately familiar,Male,2-year College Degree,Service ,Married with children,Vermont,,,,,Treatment,,Q45|Q20|Q18,,1|3|2,2|1,44.278793334961,-72.61710357666,-1,
R_1f91T4FT4mzjjC0,Default Response Set,Anonymous,,,72.13.87.234,0,2016-04-23 03:12:36,2016-04-23 03:15:44,1,2440120,18-25,Democrat,Strong,,Agree,Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,,,Very familiar,Moderately familiar,Female,4-year College Degree,"Management, professional, and related ","Single, never married",California,Treatment,,,,,,Q45|Q20|Q18,,1|2|3,2|1,37.339401245117,-121.89500427246,-1,
R_31FdKKys2outlXR,Default Response Set,Anonymous,,,75.97.137.168,0,2016-04-23 03:14:29,2016-04-23 03:15:47,1,919894,26-34,Independent,,Republican,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,Extremely familiar,Very familiar,Male,High School / GED,"Production, transportation, and material moving ",Living w/ partner,Pennsylvania,,,,,Treatment,,Q45|Q18|Q20,,2|3|1,1|2,41.202896118164,-75.902702331543,-1,
R_22zD813wO0ZAkOq,Default Response Set,Anonymous,,,72.13.87.233,0,2016-04-23 03:13:51,2016-04-23 03:16:38,1,3915929,18-25,Democrat,Weak,,,,,,,,Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Slightly familiar,Moderately familiar,Female,4-year College Degree,"Management, professional, and related ","Single, never married",California,Control,,,,,,,Q26|Q19|Q18,1|3|2,1|2,37.339401245117,-121.89500427246,-1,
R_3HZiNU0SdQQNZAD,Default Response Set,Anonymous,,,108.4.49.19,0,2016-04-23 03:15:04,2016-04-23 03:16:46,1,3708368,18-25,Independent,,Republican,,,,,,,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Very familiar,Moderately familiar,Male,High School / GED,"Construction, extraction, and maintenance ","Single, never married",Virginia,,,,Control,,,,Q26|Q18|Q19,1|2|3,2|1,37.444900512695,-77.298301696777,-1,
