V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,mTurkCode,Q21_1,Q21_2,Q21_3,Q21_4,Q6_6,Q6_7,Q6_8,Q22_1,Q22_2,Q22_3,Q22_4,Q26,Q1,Q2,Q2,Q23_1,Q23_2,Q23_3,Q23_4,Q20_7,Q20_9,Q27_1,Q27_2,Q27_3,Q27_4,Q18_6,Q18_7,Q24_1,Q24_2,Q24_3,Q24_4,Q18_4,Q18_5,Q28_1,Q28_2,Q28_3,Q28_4,Q19_4,Q19_5,Q19_1,Q19_2,Q25_1,Q25_2,Q25_3,Q25_4,Q8,Q9,Q15,Q16,Q12,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,mTurkCode,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,In the following segment we will be asking you to read two excerpts from a news article discussin...-Overall Impact,In the following segment we will be asking you to read two excerpts from a news article discussin...-Social Impact,In the following segment we will be asking you to read two excerpts from a news article discussin...-Economic Impact,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,What is your current age?,"Generally speaking, do you usually think of yourself as a Republican, a Democrat, an Independent?",Would you call yourself a strong Republican/Democrat or a not very strong Republican/Democrat?,Which party do you think of yourself as closer. The Republican or Democratic party?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Please read the following excerpt from a Huffington Post News article:   Daum said society might...-Do you agree with the author's position as represented in this article?,Please read the following excerpt from a Huffington Post News article:   Daum said society might...-Do you believe this article to be an accurate representation of the situation?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Please read the following excerpt from a Fox News article:    It should be clear at a glance just...-Do you agree with the author's position as represented in this article?,Please read the following excerpt from a Fox News article:    It should be clear at a glance just...-Do you believe this article to be an accurate representation of the situation?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Please read the following excerpt from a Fox News article:   Daum said society might forgive a nu...-Do you agree with the author's position as represented in this article?,Please read the following excerpt from a Fox News article:   Daum said society might forgive a nu...-Do you believe this article to be an accurate representation of the situation?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Please read the following excerpt from a Huffington Post News article:   It should be clear at a...-Do you agree with the author's position as represented in this article?,Please read the following excerpt from a Huffington Post News article:   It should be clear at a...-Do you believe this article to be an accurate representation of the situation?,How familiar are you with the following news sources?-Fox News,How familiar are you with the following news sources?-Huffington Post News,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Gender,What is the highest level of education you have completed?,Please indicate your occupation:,What is your current marital status?,"50 States, D.C. and Puerto Rico",LocationLatitude,LocationLongitude,LocationAccuracy,
R_2TodFJkEf9gg6Fg,Default Response Set,Anonymous,,,69.248.71.195,0,2016-04-03 23:11:20,2016-04-03 23:13:53,1,8552433,1,2,3,4,Positive,Positive,Positive,1,2,3,4,18-25,Republican,Moderate,,,,,,,,,,,,,,,,,,Agree,Agree,,,,,Agree,Agree,Extremely familiar,Extremely familiar,1,2,3,4,Male,Some College,"Management, professional, and related ","Single, never married",New Jersey,40.581695556641,-74.231498718262,-1,
R_1pEjuPlSXz5vxIN,Default Response Set,Anonymous,,,64.121.102.112,0,2016-04-03 23:13:18,2016-04-03 23:14:33,1,7744614,1,2,3,4,Negative,Negative,Neutral,1,2,3,4,18-25,Democrat,Moderate,,,,,,,,,,,,,,,,,,Agree,Strongly Agree,,,,,Disagree,Neither Agree nor Disagree,Slightly familiar,Not familiar at all,1,2,3,4,Male,4-year College Degree,Service ,"Single, never married",Pennsylvania,40.590194702148,-75.354698181152,-1,
R_1kSaUzDoQi1tmRw,Default Response Set,Anonymous,,,50.138.81.216,0,2016-04-03 23:11:30,2016-04-03 23:14:36,1,7102945,1,2,3,4,Very Positive,Very Positive,Very Positive,1,2,3,4,26-34,Independent,,Democrat,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,,,,,,,,,Moderately familiar,Moderately familiar,1,2,3,4,Male,4-year College Degree,Other,Living w/ partner,Florida,26.853897094727,-80.189796447754,-1,
R_25T8JSllDoDE1F6,Default Response Set,Anonymous,,,67.246.117.190,0,2016-04-03 23:13:04,2016-04-03 23:14:43,1,6987963,1,2,3,4,Very Positive,Very Positive,Positive,1,2,3,4,26-34,Democrat,Moderate,,,,,,,,,,,,,,,,,,Strongly Agree,Strongly Agree,,,,,Agree,Agree,Very familiar,Very familiar,1,2,3,4,Male,Some College,Unemployed,"Single, never married",New York,43.348007202148,-76.34220123291,-1,
R_2eVCXA6u5QaLrDd,Default Response Set,Anonymous,,,184.47.26.24,0,2016-04-03 23:12:11,2016-04-03 23:14:52,1,8765568,1,2,3,4,Positive,Positive,Positive,1,2,3,4,26-34,Democrat,Strong,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,Agree,Agree,Extremely familiar,Extremely familiar,1,2,3,4,Female,High School / GED,Other,"Single, never married",Georgia,34.377593994141,-83.760498046875,-1,
R_28S3UZkNWThh2I0,Default Response Set,Anonymous,,,50.138.77.114,0,2016-04-03 23:13:00,2016-04-03 23:15:02,1,9544771,1,2,3,4,Neutral,Positive,Neutral,1,2,3,4,26-34,Democrat,Moderate,,,,,,Agree,Agree,,,,,Agree,Agree,,,,,,,,,,,,,Extremely familiar,Moderately familiar,1,2,3,4,Female,4-year College Degree,Government ,Married with children,Florida,25.93879699707,-80.214401245117,-1,
R_3LX7shhxPfRXl5e,Default Response Set,Anonymous,,,104.6.249.74,0,2016-04-03 23:13:12,2016-04-03 23:15:29,1,9765661,1,2,3,4,Positive,Positive,Positive,1,2,3,4,18-25,Democrat,Moderate,,,,,,Agree,Agree,,,,,Neither Agree nor Disagree,Disagree,,,,,,,,,,,,,Moderately familiar,Very familiar,1,2,3,4,Female,4-year College Degree,Service ,Living w/ partner,Ohio,40.081207275391,-82.808799743652,-1,
R_1NnB0uwsFTpENuY,Default Response Set,Anonymous,,,174.107.248.31,0,2016-04-03 23:13:35,2016-04-03 23:15:45,1,2646531,1,2,3,4,Positive,Neutral,Positive,1,2,3,4,18-25,Independent,,Republican,,,,,,,,,,,,,,,,,Agree,Agree,,,,,Agree,Neither Agree nor Disagree,Slightly familiar,Moderately familiar,1,2,3,4,Female,Masters Degree,Government ,"Single, never married",South Carolina,34.203796386719,-80.995498657227,-1,
R_1i9Z3sTCglGo8Jq,Default Response Set,Anonymous,,,64.129.26.4,0,2016-04-03 23:13:17,2016-04-03 23:15:49,1,7305883,1,2,3,4,Positive,Positive,Neutral,1,2,3,4,35-44,Republican,Weak,,,,,,Agree,Agree,,,,,Agree,Neither Agree nor Disagree,,,,,,,,,,,,,Very familiar,Moderately familiar,1,2,3,4,Male,4-year College Degree,"Management, professional, and related ",Married with children,New York,42.749496459961,-73.595100402832,-1,
